类型,路径,字节
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/fedpurel-08.png,786626
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/两篇论文的Insight实验与绘图设计拆解.md,19181
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/01_LA七组_双划分大表.png,598165
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/02_CAPT_LA_SFRA_完整大表.png,803534
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/build_tables.py,23630
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/两种划分差值.csv,634
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/协议检查.csv,516
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/原始训练曲线.csv,75296
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/大表与说明.md,9627
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/完整大表.html,4001
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/完整结果_横向大表.csv,2332
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/完整结果_长表.csv,5410
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/校验记录.json,4063
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/策略变化对照.csv,924
已有汇总、图或审阅（派生产物，不新增训练）,presentation/results_table_20260920/逐类末20轮均值.csv,75745
已有汇总、图或审阅（派生产物，不新增训练）,presentation/slide_source_metrics.csv,495
已有汇总、图或审阅（派生产物，不新增训练）,presentation/source_factor_roles.csv,3468
已有汇总、图或审阅（派生产物，不新增训练）,presentation/source_partition_structure.csv,913
已有汇总、图或审阅（派生产物，不新增训练）,presentation/source_standard_dirichlet.csv,1958
已有汇总、图或审阅（派生产物，不新增训练）,presentation/source_strategy_interactions.csv,446
已有汇总、图或审阅（派生产物，不新增训练）,presentation/历史提纲_20260918_已替代.md,13469
已有汇总、图或审阅（派生产物，不新增训练）,presentation/图片索引.md,3106
已有汇总、图或审阅（派生产物，不新增训练）,presentation/汇报提纲与闭环实验计划.md,632
已有汇总、图或审阅（派生产物，不新增训练）,presentation/汇报提纲与闭环实验计划_20260919.md,14432
